document_id,posting_date,cost_center,vendor,amount
10063,2024-09-02,Sales,VEND3,-4922
10064,2024-06-14,Marketing,VEND1,2591
10065,2024-05-26,IT,VEND2,4943
10066,2024-07-01,Sales,VEND2,85761
10067,2024-11-11,HR,VEND2,-861
10068,2024-08-26,Finance,VEND2,847
10069,2024-03-24,Finance,VEND1,-2688
10070,2024-10-05,Sales,VEND3,3878
10071,2024-07-01,Sales,VEND3,114502
10072,2024-10-27,IT,VEND2,-2776
10073,2024-03-04,Sales,VEND1,-1734
10074,2024-07-07,Sales,VEND2,-4284
10075,2024-04-11,Finance,VEND3,1393
10076,2024-07-07,HR,VEND2,306
10077,2024-12-25,Sales,VEND3,756
10078,2024-12-03,Finance,VEND3,302
10079,2024-02-23,Finance,VEND1,-3625
10080,2024-06-29,IT,VEND3,-2113
10081,2024-02-28,HR,VEND2,-4727
10082,2024-08-17,HR,VEND2,-3560
10083,2024-11-08,IT,VEND2,3471
10084,2024-04-15,HR,VEND3,1760
10085,2024-10-22,Marketing,VEND1,-3447
10086,2024-03-26,Finance,VEND2,-4689
10087,2024-04-11,Sales,VEND2,3445
10088,2024-04-02,HR,VEND2,-2828
10089,2024-11-12,Finance,VEND2,4784
10090,2024-02-23,Sales,VEND3,3478
10091,2024-12-02,Finance,VEND3,-490
10092,2024-06-05,Finance,VEND1,3220
10093,2024-11-23,Sales,VEND1,4075
10094,2024-06-14,Sales,VEND2,-4941
10095,2024-02-17,Marketing,VEND1,1254
10096,2024-08-29,Sales,VEND3,-2822
10097,2024-06-26,IT,VEND1,72
10098,2024-02-24,Marketing,VEND1,-67
10099,2024-07-13,Sales,VEND2,3986
10100,2024-02-14,IT,VEND2,-2212
10101,2024-04-25,HR,VEND1,3618
10102,2024-10-25,Finance,VEND3,-2350
10103,2024-11-17,IT,VEND2,4795
10104,2024-08-29,HR,VEND1,-1137
10105,2024-03-02,Marketing,VEND1,-2269
10106,2024-11-12,Marketing,VEND2,2643
10107,2024-12-12,HR,VEND2,1802
10108,2024-11-16,HR,VEND2,484
10109,2024-11-23,Sales,VEND2,4612
10110,2024-12-13,Finance,VEND1,-1768
10111,2024-09-03,Marketing,VEND3,2986
10112,2024-09-08,HR,VEND3,1669
10113,2024-06-28,Sales,VEND1,-1943
10114,2024-06-20,Marketing,VEND2,-4109
10115,2024-07-11,Sales,VEND1,-175
10116,2024-06-19,Sales,VEND3,4480
10117,2024-07-24,Finance,VEND1,-898
10118,2024-01-31,Sales,VEND1,-3238
10119,2024-04-14,IT,VEND2,497
10120,2024-10-16,Finance,VEND3,-350
10121,2024-12-29,Finance,VEND2,2828
10122,2024-09-16,IT,VEND3,1215
10123,2024-11-14,Marketing,VEND3,-2191
10124,2024-02-03,Sales,VEND3,69
10125,2024-08-09,Finance,VEND2,169
10126,2024-05-20,Marketing,VEND2,1543
10127,2024-07-15,Marketing,VEND2,-3110
10128,2024-05-19,Marketing,VEND2,-2568
10129,2024-12-13,IT,VEND1,-2817
10130,2024-05-15,IT,VEND1,-2708
10131,2024-08-15,Sales,VEND3,2480
10132,2024-01-25,HR,VEND3,-834
10133,2024-04-20,Marketing,VEND2,2224
10134,2024-07-25,HR,VEND3,-1649
10135,2024-12-28,IT,VEND3,-4108
10136,2024-10-14,Finance,VEND3,1258
10137,2024-12-02,IT,VEND1,-25
10138,2024-02-07,Marketing,VEND2,-4711
10139,2024-05-09,Sales,VEND2,281
10140,2024-10-28,Sales,VEND1,-2217
10141,2024-07-17,Sales,VEND2,-2834
10142,2024-08-28,Finance,VEND1,-3716
10143,2024-02-17,HR,VEND1,-2840
10144,2024-02-25,Sales,VEND3,1130
10145,2024-05-04,Sales,VEND3,3498
10146,2024-05-13,Finance,VEND3,-1947
10147,2024-05-11,Marketing,VEND2,-1102
10148,2024-02-10,HR,VEND2,-4808
10149,2024-10-30,IT,VEND1,-3027
10150,2024-12-26,IT,VEND2,2919
10151,2024-04-28,IT,VEND1,2383
10152,2024-12-29,Finance,VEND3,-1294
10153,2024-07-02,IT,VEND1,651
10154,2024-12-27,Sales,VEND2,4905
10155,2024-03-13,Sales,VEND3,-10
10156,2024-04-24,Finance,VEND3,-3585
10157,2024-08-14,IT,VEND3,56038
10158,2024-07-27,HR,VEND2,3614
10159,2024-10-24,IT,VEND3,3899
10160,2024-01-04,HR,VEND1,-1749
10161,2024-06-16,Marketing,VEND3,654
10162,2024-07-14,IT,VEND1,62
10163,2024-12-27,IT,VEND3,782
10164,2024-09-27,IT,VEND2,1625
10165,2024-11-06,Sales,VEND1,10
10166,2024-10-05,IT,VEND3,-4210
10167,2024-09-07,Finance,VEND2,200
10168,2024-05-18,HR,VEND1,-1834
10169,2024-05-14,IT,VEND1,-298
10170,2024-07-26,Sales,VEND1,565
10171,2024-10-21,Sales,VEND1,2097
10172,2024-12-17,HR,VEND3,4039
10173,2024-03-31,IT,VEND3,2125
10174,2024-08-08,Sales,VEND2,2871
10175,2024-12-30,Marketing,VEND2,3724
10176,2024-09-07,Sales,VEND3,2755
10177,2024-07-15,Sales,VEND3,3747
10178,2024-06-19,Finance,VEND2,-3886
10179,2024-11-28,Marketing,VEND1,-3242
10180,2024-01-23,Finance,VEND1,4375
10181,2024-11-25,IT,VEND3,3106
10182,2024-12-15,Sales,VEND1,-1772
10183,2024-11-28,HR,VEND3,-1395
10184,2024-04-03,IT,VEND3,-1506
10185,2024-10-12,Marketing,VEND3,76
10186,2024-07-31,Marketing,VEND2,120061
10187,2024-02-16,Marketing,VEND2,-3736
10188,2024-11-30,Sales,VEND3,-289
10189,2024-11-02,IT,VEND1,3801
10190,2024-09-08,Sales,VEND1,673
10191,2024-11-20,Marketing,VEND2,946
10192,2024-02-20,HR,VEND1,-1800
10193,2024-06-19,IT,VEND1,1847
10194,2024-07-02,Marketing,VEND3,4255
10195,2024-08-17,HR,VEND1,3542
10196,2024-09-18,IT,VEND2,1185
10197,2024-02-18,Marketing,VEND1,-2400
10198,2024-09-27,IT,VEND2,-3949
10199,2024-07-02,IT,VEND3,-153
10200,2024-02-10,Sales,VEND1,4655
10201,2024-02-19,Marketing,VEND2,-2454
10202,2024-06-18,Finance,VEND1,-3544
10203,2024-02-08,IT,VEND1,4961
10204,2024-01-10,IT,VEND3,2174
10205,2024-11-12,Sales,VEND2,4314
10206,2024-10-21,Marketing,VEND1,-1893
10207,2024-08-10,IT,VEND3,-3093
10208,2024-05-23,Finance,VEND2,4627
10209,2024-12-29,Finance,VEND1,3273
10210,2024-01-10,Sales,VEND3,3625
10211,2024-12-21,HR,VEND1,-4604
10212,2024-03-05,Finance,VEND3,35
10213,2024-09-18,Marketing,VEND1,-1262
10214,2024-09-22,Marketing,VEND3,-1857
10215,2024-02-12,IT,VEND2,751
10216,2024-07-26,HR,VEND1,787
10217,2024-06-19,IT,VEND2,-4862
10218,2024-07-07,Sales,VEND1,1305
10219,2024-02-06,Marketing,VEND3,-3170
10220,2024-03-27,HR,VEND1,-1867
10221,2024-02-11,HR,VEND3,1893
10222,2024-10-01,Sales,VEND1,2572
10223,2024-05-29,Sales,VEND3,-4824
10224,2024-07-19,Finance,VEND1,-3451
10225,2024-03-09,HR,VEND3,-247
10226,2024-03-24,Marketing,VEND1,-1489
10227,2024-02-28,Finance,VEND1,-3080
10228,2024-02-07,Finance,VEND3,1521
10229,2024-01-11,IT,VEND3,-1159
10230,2024-10-21,Marketing,VEND2,1990
10231,2024-06-21,Marketing,VEND2,-3441
10232,2024-09-11,Sales,VEND3,3177
10233,2024-04-13,HR,VEND1,850
10234,2024-10-30,Marketing,VEND3,2899
10235,2024-01-28,Sales,VEND2,-1299
10236,2024-12-22,IT,VEND3,-417
10237,2024-02-01,HR,VEND1,-2135
10238,2024-12-23,Sales,VEND1,-2966
10239,2024-04-18,Finance,VEND1,3118
10240,2024-09-16,Finance,VEND3,-530
10241,2024-03-02,Marketing,VEND1,113816
10242,2024-01-03,Marketing,VEND1,-3274
10243,2024-04-03,Sales,VEND3,-128
10244,2024-02-15,Marketing,VEND3,-2258
10245,2024-11-04,Finance,VEND1,-4787
10246,2024-07-15,Marketing,VEND2,2937
10247,2024-02-03,Sales,VEND2,1253
10248,2024-04-04,Finance,VEND1,-4587
10249,2024-08-13,Marketing,VEND1,-1859
10250,2024-08-31,Finance,VEND2,-60
10251,2024-09-23,IT,VEND1,56154
10252,2024-10-08,HR,VEND3,1065
10253,2024-04-06,HR,VEND2,2046
10254,2024-08-30,Sales,VEND2,3337
10255,2024-03-25,Sales,VEND3,-2368
10256,2024-11-08,Finance,VEND2,2646
10257,2024-02-23,Marketing,VEND2,-3921
10258,2024-07-19,Marketing,VEND3,1667
10259,2024-11-23,Sales,VEND1,4130
10260,2024-12-04,Finance,VEND2,-52
10261,2024-08-24,Finance,VEND2,3585
10262,2024-03-31,IT,VEND2,-3348
10263,2024-01-05,Finance,VEND3,-4024
10264,2024-06-22,Marketing,VEND2,4355
10265,2024-08-01,Finance,VEND1,2468
10266,2024-10-25,Marketing,VEND2,-2580
10267,2024-09-27,HR,VEND3,-1709
10268,2024-04-22,Sales,VEND2,-3493
10269,2024-06-18,HR,VEND1,-4646
10270,2024-09-21,IT,VEND2,1694
10271,2024-02-09,IT,VEND3,4839
10272,2024-10-20,Finance,VEND1,1037
10273,2024-12-20,HR,VEND1,-891
10274,2024-06-06,Marketing,VEND3,3244
10275,2024-03-24,HR,VEND3,-398
10276,2024-02-05,Marketing,VEND1,120873
10277,2024-05-23,Finance,VEND2,1759
10278,2024-12-03,Marketing,VEND2,293
10279,2024-01-18,HR,VEND1,-2390
10280,2024-08-22,Finance,VEND1,-1161
10281,2024-09-06,HR,VEND2,-1940
10282,2024-07-01,Finance,VEND3,-1233
10283,2024-11-22,Sales,VEND2,-3819
10284,2024-11-02,Marketing,VEND3,1039
10285,2024-03-17,Sales,VEND1,-3438
10286,2024-06-03,Marketing,VEND3,-2623
10287,2024-09-07,Finance,VEND1,2165
10288,2024-01-10,IT,VEND2,2194
10289,2024-03-29,Sales,VEND2,3279
10290,2024-07-05,IT,VEND3,1407
10291,2024-05-10,Finance,VEND3,-2412
10292,2024-09-07,Marketing,VEND1,-2
10293,2024-08-24,Sales,VEND2,3592
10294,2024-10-02,Marketing,VEND1,574
10295,2024-03-17,IT,VEND3,1263
10296,2024-06-25,IT,VEND1,3577
10297,2024-12-20,Finance,VEND3,-3589
10298,2024-11-29,HR,VEND3,3096
10299,2024-12-28,Marketing,VEND3,351
10300,2024-12-25,Marketing,VEND1,-250
10301,2024-08-31,IT,VEND1,638
10302,2024-10-05,Marketing,VEND3,-3354
10303,2024-10-02,IT,VEND2,-544
10304,2024-12-11,HR,VEND1,-4161
10305,2024-10-27,Sales,VEND2,-4878
10306,2024-12-04,Finance,VEND1,1948
10307,2024-08-22,Marketing,VEND1,1125
10308,2024-06-18,IT,VEND3,1735
10309,2024-04-22,IT,VEND2,-4259
10310,2024-08-12,Sales,VEND2,-2247
10311,2024-12-02,IT,VEND1,-206
10312,2024-04-11,Sales,VEND2,-2742
10313,2024-03-24,Finance,VEND3,-370
10314,2024-02-21,Marketing,VEND2,2482
10315,2024-04-10,Finance,VEND2,-795
10316,2024-10-25,Marketing,VEND3,-4839
10317,2024-07-01,Finance,VEND2,2614
10318,2024-04-21,Sales,VEND3,-2010
10319,2024-12-23,HR,VEND3,-4873
10320,2024-05-04,Sales,VEND2,4085
10321,2024-01-05,HR,VEND2,-440
10322,2024-01-03,Finance,VEND2,54
10323,2024-12-17,IT,VEND3,-1655
10324,2024-07-30,Marketing,VEND1,4021
10325,2024-03-06,Marketing,VEND2,-2112
10326,2024-07-28,IT,VEND2,-290
10327,2024-04-22,IT,VEND1,2808
10328,2024-07-19,Sales,VEND1,4340
10329,2024-09-25,Sales,VEND2,1795
10330,2024-12-04,IT,VEND1,69719
10331,2024-07-21,HR,VEND2,274
10332,2024-06-14,Sales,VEND3,-2698
10333,2024-09-13,Marketing,VEND1,-4852
10334,2024-12-27,Sales,VEND3,-2362
10335,2024-02-17,Marketing,VEND2,-2938
10336,2024-11-19,Finance,VEND2,-2066
10337,2024-04-14,Sales,VEND3,-1808
10338,2024-07-19,Sales,VEND1,2410
10339,2024-06-29,Sales,VEND3,257
10340,2024-11-15,Marketing,VEND1,-3973
10341,2024-07-02,IT,VEND3,4998
10342,2024-10-16,HR,VEND1,-527
10343,2024-06-16,Finance,VEND3,-3286
10344,2024-03-14,Sales,VEND2,-4676
10345,2024-05-26,Sales,VEND2,1457
10346,2024-09-10,HR,VEND1,588
10347,2024-01-20,Sales,VEND3,3243
10348,2024-06-15,Finance,VEND1,-3247
10349,2024-02-22,Sales,VEND1,4168
10350,2024-06-12,Marketing,VEND2,-4568
10351,2024-04-13,Marketing,VEND3,-4165
10352,2024-04-25,Sales,VEND3,-3483
10353,2024-12-26,IT,VEND1,-4864
10354,2024-05-26,Finance,VEND1,-3994
10355,2024-10-13,Finance,VEND2,-389
10356,2024-10-08,IT,VEND3,-2183
10357,2024-12-01,Sales,VEND2,2646
10358,2024-01-02,Finance,VEND1,1608
10359,2024-04-23,HR,VEND3,-1999
10360,2024-10-10,Sales,VEND2,1843
10361,2024-09-14,HR,VEND3,4100
10362,2024-12-31,Finance,VEND2,530
10363,2024-01-09,Finance,VEND2,461
10364,2024-02-10,Sales,VEND3,757
10365,2024-12-15,IT,VEND1,1190
10366,2024-09-01,Marketing,VEND3,-3474
10367,2024-01-29,IT,VEND2,-4870
10368,2024-11-30,Sales,VEND2,-4371
10369,2024-09-28,Marketing,VEND1,-2345
10370,2024-01-11,Sales,VEND1,1126
10371,2024-07-25,IT,VEND3,4817
10372,2024-01-15,Sales,VEND1,2097
10373,2024-11-13,IT,VEND2,3096
10374,2024-03-25,Marketing,VEND1,4145
10375,2024-07-14,Sales,VEND2,-3018
10376,2024-09-28,IT,VEND2,3360
10377,2024-01-20,IT,VEND3,-1934
10378,2024-10-31,IT,VEND3,-1256
10379,2024-01-06,Finance,VEND3,3752
10380,2024-10-10,Sales,VEND2,4687
10381,2024-04-15,Finance,VEND1,-2479
10382,2024-11-14,Finance,VEND2,2433
10383,2024-11-26,Finance,VEND3,4271
10384,2024-04-05,Sales,VEND2,-2895
10385,2024-09-10,IT,VEND1,-4734
10386,2024-07-26,HR,VEND1,-4949
10387,2024-07-19,Marketing,VEND1,3707
10388,2024-09-21,Marketing,VEND2,-632
10389,2024-03-09,Finance,VEND1,-1358
10390,2024-08-13,HR,VEND2,-3611
10391,2024-01-31,IT,VEND2,369
10392,2024-08-30,Marketing,VEND1,-2022
10393,2024-02-23,IT,VEND1,3725
10394,2024-10-12,Finance,VEND2,1369
10395,2024-07-05,IT,VEND1,76
10396,2024-11-13,Sales,VEND1,-2353
10397,2024-11-08,HR,VEND1,371
10398,2024-01-07,IT,VEND2,2190
10399,2024-10-16,Finance,VEND3,-1702
10400,2024-08-04,Finance,VEND1,1132
10401,2024-05-29,IT,VEND3,-1973
10402,2024-07-05,HR,VEND1,-2023
10403,2024-07-23,Finance,VEND2,-479
10404,2024-10-30,Finance,VEND3,-3613
10405,2024-03-15,Finance,VEND2,-1924
10406,2024-10-14,Marketing,VEND2,-1958
10407,2024-04-19,HR,VEND3,2481
10408,2024-06-11,IT,VEND1,1718
10409,2024-08-23,HR,VEND1,-3773
10410,2024-02-27,HR,VEND2,3015
10411,2024-05-23,Sales,VEND3,4523
10412,2024-01-10,Marketing,VEND2,333
10413,2024-12-19,Sales,VEND1,1430
10414,2024-09-08,HR,VEND2,-1350
10415,2024-05-12,HR,VEND3,-4922
10416,2024-05-12,Finance,VEND3,762
10417,2024-08-14,IT,VEND1,-3468
10418,2024-01-30,IT,VEND2,-1556
10419,2024-10-10,Sales,VEND3,-2784
10420,2024-01-25,IT,VEND2,165
10421,2024-03-06,IT,VEND1,1225
10422,2024-03-15,Marketing,VEND3,-3146
10423,2024-08-20,Marketing,VEND2,1747
10424,2024-02-28,IT,VEND1,-900
10425,2024-06-23,IT,VEND3,-1629
10426,2024-02-27,Marketing,VEND2,65797
10427,2024-03-23,Sales,VEND1,-406
10428,2024-01-05,Sales,VEND2,3192
10429,2024-01-16,HR,VEND1,1039
10430,2024-11-07,Sales,VEND3,1248
10431,2024-11-03,IT,VEND2,-4412
10432,2024-02-07,HR,VEND3,-1457
10433,2024-01-01,Marketing,VEND3,-4613
10434,2024-05-27,Finance,VEND1,-2496
10435,2024-04-27,HR,VEND3,3992
10436,2024-02-16,Marketing,VEND3,-1211
10437,2024-12-31,Marketing,VEND1,3144
10438,2024-09-27,Marketing,VEND3,-2873
10439,2024-09-20,IT,VEND1,3287
10440,2024-08-01,Marketing,VEND1,2036
10441,2024-06-18,Finance,VEND3,2338
10442,2024-01-28,Finance,VEND1,58405
10443,2024-02-23,HR,VEND1,1113
10444,2024-06-13,Marketing,VEND2,1742
10445,2024-01-21,Marketing,VEND3,4382
10446,2024-04-07,IT,VEND2,3811
10447,2024-08-03,IT,VEND1,912
10448,2024-09-23,IT,VEND2,-1578
10449,2024-11-15,HR,VEND2,590
10450,2024-10-23,IT,VEND2,-3738
10451,2024-12-03,HR,VEND2,4382
10452,2024-12-09,IT,VEND1,-1432
10453,2024-02-24,IT,VEND3,-4080
10454,2024-08-25,Sales,VEND2,4068
10455,2024-07-07,HR,VEND3,-3503
10456,2024-05-12,HR,VEND2,2113
10457,2024-11-16,Finance,VEND3,100448
10458,2024-01-04,Marketing,VEND1,-3282
10459,2024-11-23,Marketing,VEND3,2154
10460,2024-07-30,Sales,VEND3,4403
10461,2024-03-26,Marketing,VEND2,-2532
10462,2024-02-29,Sales,VEND2,-133
10463,2024-12-29,Sales,VEND2,-3011
10464,2024-09-11,Finance,VEND3,4166
10465,2024-09-17,Sales,VEND1,-3081
10466,2024-08-31,Marketing,VEND1,285
10467,2024-07-21,Sales,VEND2,-3134
10468,2024-07-22,Finance,VEND2,-636
10469,2024-04-14,HR,VEND2,-2974
10470,2024-04-19,IT,VEND3,-284
10471,2024-05-04,Finance,VEND1,80670
10472,2024-02-29,HR,VEND3,2062
10473,2024-12-29,IT,VEND3,2502
10474,2024-07-21,Marketing,VEND2,3816
10475,2024-09-17,IT,VEND1,2443
10476,2024-04-01,Sales,VEND2,3627
10477,2024-06-22,Sales,VEND2,1586
10478,2024-04-11,Marketing,VEND1,-3153
10479,2024-05-09,Marketing,VEND3,-600
10480,2024-02-11,Marketing,VEND2,379
10481,2024-06-15,Sales,VEND1,652
10482,2024-06-23,IT,VEND2,-4643
10483,2024-03-05,Sales,VEND2,2114
10484,2024-11-16,IT,VEND1,2059
10485,2024-07-16,Finance,VEND3,2026
10486,2024-04-27,Marketing,VEND3,1982
10487,2024-01-24,Sales,VEND1,-815
10488,2024-08-23,HR,VEND3,2269
10489,2024-11-17,Marketing,VEND1,2168
10490,2024-06-24,HR,VEND1,-3814
10491,2024-03-31,Finance,VEND1,2192
10492,2024-08-02,HR,VEND3,-2217
10493,2024-09-20,IT,VEND1,4793
10494,2024-10-21,IT,VEND3,-886
10495,2024-10-13,Marketing,VEND1,1893
10496,2024-09-24,Marketing,VEND3,3531
10497,2024-04-08,HR,VEND3,2451
10498,2024-07-01,Sales,VEND1,-4196
10499,2024-03-13,Finance,VEND3,4435
10500,2024-11-02,Marketing,VEND1,3204
10501,2024-10-03,Marketing,VEND1,2201
10502,2024-07-23,HR,VEND1,1516
10503,2024-10-27,Finance,VEND3,-2182
10504,2024-05-15,Finance,VEND2,-4130
10505,2024-04-10,Sales,VEND2,2399
10506,2024-04-19,HR,VEND1,1027
10507,2024-02-08,Marketing,VEND2,-2422
10508,2024-12-03,Finance,VEND2,-2437
10509,2024-06-09,Marketing,VEND2,-3812
10510,2024-12-08,Marketing,VEND3,-3622
10511,2024-06-12,Finance,VEND1,-133
10512,2024-11-23,Marketing,VEND2,-1388
10513,2024-06-13,IT,VEND1,1036
10514,2024-07-25,Sales,VEND3,-2004
10515,2024-03-10,Sales,VEND2,1542
10516,2024-01-22,Marketing,VEND2,2095
10517,2024-03-04,IT,VEND1,3537
10518,2024-06-24,IT,VEND2,3256
10519,2024-11-21,Sales,VEND2,1016
10520,2024-05-18,Marketing,VEND3,1528
10521,2024-10-09,HR,VEND3,327
10522,2024-04-26,HR,VEND3,-3152
10523,2024-10-10,HR,VEND2,-476
10524,2024-05-09,HR,VEND3,-1643
10525,2024-01-11,IT,VEND3,-4995
10526,2024-07-06,IT,VEND1,3309
10527,2024-03-10,Finance,VEND2,3687
10528,2024-02-15,Sales,VEND2,-1634
10529,2024-11-06,Marketing,VEND1,-2693
10530,2024-10-31,IT,VEND2,13
10531,2024-12-17,HR,VEND2,3408
10532,2024-12-13,Finance,VEND3,1752
10533,2024-12-12,Finance,VEND1,3711
10534,2024-05-08,Sales,VEND2,1043
10535,2024-09-01,Sales,VEND3,620
10536,2024-02-12,IT,VEND1,4802
10537,2024-06-23,Finance,VEND3,-541
10538,2024-05-05,Marketing,VEND1,-3942
10539,2024-06-11,Marketing,VEND2,-569
10540,2024-04-15,Sales,VEND3,-4554
10541,2024-03-01,Marketing,VEND1,1483
10542,2024-04-19,HR,VEND2,-537
10543,2024-02-15,Marketing,VEND2,-892
10544,2024-01-11,Marketing,VEND1,1561
10545,2024-05-28,Marketing,VEND1,-4837
10546,2024-11-29,IT,VEND2,-2147
10547,2024-09-23,IT,VEND2,-2241
10548,2024-06-13,Sales,VEND2,1770
10549,2024-08-09,Finance,VEND1,3767
10550,2024-01-01,Marketing,VEND3,4712
10551,2024-02-09,Marketing,VEND2,-3644
10552,2024-03-02,IT,VEND1,504
10553,2024-06-23,Marketing,VEND3,1238
10554,2024-07-04,IT,VEND2,4778
10555,2024-12-23,Marketing,VEND2,-14
10556,2024-02-07,HR,VEND1,4277
10557,2024-12-15,Finance,VEND2,-757
10558,2024-03-17,Sales,VEND1,-243
10559,2024-05-24,HR,VEND2,3229
10560,2024-09-18,IT,VEND1,4677
10561,2024-09-27,IT,VEND3,1066
10562,2024-02-08,Finance,VEND2,-4708
10563,2024-02-26,HR,VEND3,-1636
10564,2024-12-29,Sales,VEND1,2081
10565,2024-12-20,HR,VEND3,360
10566,2024-04-20,HR,VEND3,4929
10567,2024-12-01,HR,VEND3,-4515
10568,2024-06-25,Marketing,VEND3,36
10569,2024-10-29,Finance,VEND1,-4053
10570,2024-10-31,Sales,VEND2,4728
10571,2024-02-02,Finance,VEND1,2145
10572,2024-12-04,Sales,VEND1,462
10573,2024-09-21,Finance,VEND3,775
10574,2024-10-27,HR,VEND1,-4074
10575,2024-07-20,Sales,VEND1,-2053
10576,2024-06-23,Finance,VEND2,2399
10577,2024-10-04,Sales,VEND3,101652
10578,2024-04-10,HR,VEND3,1739
10579,2024-07-05,Finance,VEND2,-3602
10580,2024-03-22,Marketing,VEND3,-333
10581,2024-04-29,Finance,VEND1,-3631
10582,2024-01-26,Marketing,VEND2,-3149
10583,2024-11-06,Marketing,VEND1,-2333
10584,2024-10-27,IT,VEND2,277
10585,2024-09-04,Sales,VEND1,-2386
10586,2024-06-24,Sales,VEND3,1882
10587,2024-09-19,Sales,VEND2,248
10588,2024-03-27,Marketing,VEND2,-1199
10589,2024-04-09,Finance,VEND3,176
10590,2024-12-06,IT,VEND3,-4141
10591,2024-09-26,Finance,VEND3,847
10592,2024-05-02,Finance,VEND3,-1455
10593,2024-08-02,Marketing,VEND2,48
10594,2024-04-06,Sales,VEND3,-3964
10595,2024-12-28,IT,VEND1,4945
10596,2024-07-03,Finance,VEND1,316
10597,2024-02-02,Marketing,VEND3,3304
10598,2024-08-11,Sales,VEND1,2864
10599,2024-08-11,HR,VEND1,2496
10600,2024-12-11,Marketing,VEND2,-2753
10601,2024-11-01,HR,VEND2,3544
10602,2024-11-06,Sales,VEND3,1351
10603,2024-06-20,HR,VEND2,1505
10604,2024-07-07,Marketing,VEND3,-3445
10605,2024-09-16,Sales,VEND1,97874
10606,2024-10-20,Finance,VEND3,-1449
10607,2024-05-09,Finance,VEND3,-196
10608,2024-08-01,IT,VEND2,-1537
10609,2024-12-04,Finance,VEND2,4870
10610,2024-06-20,Sales,VEND2,2145
10611,2024-03-26,Finance,VEND1,-1354
10612,2024-09-05,Sales,VEND3,-1637
10613,2024-02-03,HR,VEND1,-4455
10614,2024-04-16,Sales,VEND1,651
10615,2024-12-17,IT,VEND2,-2558
10616,2024-07-02,Sales,VEND1,-1889
10617,2024-01-12,IT,VEND3,-654
10618,2024-10-20,Finance,VEND3,1704
10619,2024-12-26,IT,VEND2,1053
10620,2024-11-22,Finance,VEND3,-143
10621,2024-08-21,Finance,VEND3,-3360
10622,2024-08-12,Finance,VEND3,2567
10623,2024-11-20,Sales,VEND1,3015
10624,2024-08-29,HR,VEND2,1343
10625,2024-08-20,Sales,VEND1,1566
10626,2024-11-24,Sales,VEND1,3652
10627,2024-09-18,Sales,VEND2,-2020
10628,2024-05-27,Marketing,VEND1,1904
10629,2024-07-10,Sales,VEND3,-206
